zcta,Percent Over 65,Percent Non White,Household Size,Household 65+,Income,Covid Infection Rate,Covid Death Rate,Overcrowding,Eviction Rates,Population,Unemployment Rate 2019,Percent Commuting,Percent Worked From Home,Occupation: Management,Occupation: Service,Occupation: Sales,Occupation: Construction,Occupation: Transportation,Health Insurance Coverage,Percent Below Poverty,County,Unemployment 2020 (Projected)
10472,9.4,0.7509999999999999,2.99,22.6,38655.0,3373.39,281.24,0.08778729602290962,0.005997253258007832,67948,6.2,65.3,3.2,18.4,36.1,21.8,10.8,12.9,0.884,28.2,Bronx,17.10344827586207
10473,11.9,0.7659999999999999,2.83,27.2,51096.0,3591.43,226.08,0.03484397397728526,0.0043773523154966455,59579,4.2,50.8,1.4,27.6,30.7,22.7,4.9,14.1,0.947,22.9,Bronx,11.586206896551726
10474,6.1,0.769,3.12,17.1,25429.0,2781.78,168.84,0.09376344086021507,0.009387351778656126,12179,5.7,57.2,5.0,20.6,37.4,22.1,7.4,12.4,0.903,45.0,Bronx,15.724137931034484
10475,21.4,0.784,2.15,35.6,67383.0,4373.25,406.92,0.034433383335606166,0.0041640548043342,42818,3.7,57.0,0.8,27.6,28.0,32.1,6.2,6.1,0.942,8.4,Bronx,10.206896551724139
11004,21.4,0.5,2.58,33.8,110406.0,3497.07,367.83,0.034164222873900287,0.0017669680906350692,15098,2.7,19.4,2.5,47.3,12.9,24.8,4.1,10.8,0.981,3.2,Queens,8.464864864864865
10001,12.4,0.35,1.72,19.5,122776.0,1952.21,114.59,0.02219384385045577,0.006872033208206717,24117,3.6,50.1,6.3,66.3,9.1,18.9,1.4,4.3,0.969,10.6,New York,8.584615384615386
10002,17.0,0.687,2.42,32.3,40045.0,1790.1,209.76,0.04611168098474163,0.001690203140302657,74479,3.4,53.1,5.9,44.0,25.8,20.1,2.8,7.3,0.945,25.3,New York,8.107692307692309
10003,10.0,0.236,1.63,16.3,183787.0,1094.76,65.05,0.020760294218739258,0.0018805662988326296,53977,3.1,52.5,7.5,71.8,8.6,17.3,0.6,1.7,0.963,2.9,New York,7.392307692307694
10004,3.2,0.298,1.81,4.6,205202.0,1232.67,27.39,0.032974661575841724,0.00412408104715797,3335,2.9,51.0,12.2,78.6,2.0,18.8,0.0,0.6,0.957,0.4,New York,6.915384615384617
10005,0.9,0.299,1.67,1.3,241094.0,1310.13,23.82,0.08325861406430128,0.00253617783082202,8701,2.8,62.4,4.3,78.0,2.4,17.2,1.7,0.7,0.974,0.9,New York,6.676923076923078
10006,0.8,0.307,1.68,1.2,245764.0,1388.18,0.0,0.03759398496240601,0.003596127247579529,3092,4.3,58.2,6.0,75.7,3.4,15.4,2.9,2.6,0.976,1.6,New York,10.253846153846155
